epoch,loss,val_loss
0,2.0993142127990723,1.4587174654006958
1,1.480437994003296,1.4012593030929565
2,1.4288381338119507,1.37124764919281
3,1.407172441482544,1.3567944765090942
4,1.3932828903198242,1.3463058471679688
5,1.382601022720337,1.3391227722167969
6,1.3735278844833374,1.3317065238952637
7,1.3658159971237183,1.3262453079223633
8,1.3591539859771729,1.321485996246338
9,1.3532065153121948,1.317295789718628
10,1.3477261066436768,1.3132036924362183
11,1.3426320552825928,1.3100306987762451
12,1.3371433019638062,1.3073816299438477
13,1.331947684288025,1.303553581237793
14,1.327228307723999,1.3005775213241577
15,1.32297682762146,1.2975788116455078
16,1.3189119100570679,1.2948614358901978
17,1.314164400100708,1.2900426387786865
18,1.3095275163650513,1.2860372066497803
19,1.3053511381149292,1.2834584712982178
