metric,mean_RACE,std_RACE,mean_KADEL,std_KADEL,diff_RACE_minus_KADEL,shapiro_p_RACE,shapiro_p_KADEL,levene_p,equal_var,t_stat,t_pvalue,df,cohen_d,ci95_low,ci95_high
BLEU,0.15936404052077693,0.0035440019859206617,0.16902248583976479,0.002767339225815434,-0.009658445318987852,0.9258186915184491,0.09196173280164865,0.726587430883421,True,-3.720467419915506,0.02046618011535986,4,-3.037748927814009,-0.01686618031652572,-0.002450710321449983
METEOR,0.31934573131053917,0.0031321930778421395,0.2824124839110918,0.007138570253860197,0.036933247399447366,0.7752946335866361,0.8124161017077722,0.38044600280232943,True,8.206049871831615,0.0012017031538128881,4,6.700211663272918,0.024437206604807762,0.04942928819408697
ROUGE1,0.4121662617174915,0.002050507100521987,0.32369138670072967,0.006426430542537231,0.08847487501676182,0.12289008906951426,0.7349897964803026,0.3018476065968007,True,22.717354735513148,2.223979362513208e-05,4,18.54864246926877,0.07766174837709777,0.09928800165642587
ROUGE2,0.19292897344450835,0.0022667380184571945,0.14648622959788193,0.0041964967015667085,0.046442743846626416,0.2034100556388131,0.575725349522795,0.5392320976950662,True,16.86554350051512,7.245012627183709e-05,4,13.770658603658427,0.03879723103993965,0.05408825665331318
ROUGEL,0.40263457694773486,0.0018943162509268492,0.31452478776783327,0.006538836182698035,0.08810978917990159,0.13064855375133855,0.7184609271393889,0.28333642996772057,True,22.417347492358022,2.3446329294803463e-05,4,18.303687580979055,0.0771971692558922,0.09902240910391097
SACREBLEU,16.24347561895915,0.3559418726186593,18.516465515752508,0.30999458272737773,-2.2729898967933586,0.8694418289613444,0.4333316872091101,0.839076941245166,True,-8.34082597011032,0.001129283097147517,4,-6.810255886708261,-3.029609408545682,-1.5163703850410353
IDENTIFIER_RECALL,0.2834636342099028,0.006399878066448752,0.31156685330679074,0.008093861637961728,-0.028103219096887955,0.9387622286910632,0.8825679374588372,0.7632076006278355,True,-4.7174253525529615,0.009189059260159903,4,-3.8517616711412646,-0.044643394991696644,-0.011563043202079265
CodeBLEU_text,0.4715740186542759,0.0007149562586605385,0.24943568481484568,0.006756041556813177,0.2221383338394302,0.391709458571911,0.6846567321912678,0.1862435352757801,True,56.63351753705085,5.820428213842641e-07,4,46.24107343491242,0.2112480533750076,0.23302861430385283
CIDEr,1.9991077855078057,0.010557502275612207,1.2338602161154197,0.03549514826074943,0.7652475693923859,0.19069107735214952,0.8178358532604122,0.2697071073481977,True,35.791988996583434,3.637066356043011e-06,4,29.224036640313166,0.7058860215190108,0.824609117265761
