epoch,loss,val_loss
0,2.1018970012664795,1.4674354791641235
1,1.491360068321228,1.4350557327270508
2,1.4701800346374512,1.4209476709365845
3,1.4576809406280518,1.4071619510650635
4,1.4443994760513306,1.3960270881652832
5,1.4351670742034912,1.390537977218628
6,1.4283831119537354,1.3841617107391357
7,1.4226511716842651,1.3808283805847168
8,1.4177554845809937,1.3760133981704712
9,1.4132790565490723,1.3726377487182617
10,1.4085910320281982,1.368597149848938
11,1.4034172296524048,1.3644213676452637
12,1.3982635736465454,1.3605947494506836
13,1.3935837745666504,1.3575100898742676
14,1.3908770084381104,1.3587026596069336
15,1.3856967687606812,1.3507599830627441
16,1.3810330629348755,1.348257064819336
17,1.3773202896118164,1.345340371131897
18,1.3736883401870728,1.3424354791641235
19,1.3703240156173706,1.3396639823913574
