epoch,loss,val_loss
0,2.100799798965454,1.4625381231307983
1,1.4894449710845947,1.4363203048706055
2,1.47444748878479,1.4271211624145508
3,1.4665700197219849,1.4171894788742065
4,1.4524083137512207,1.40187406539917
5,1.4386709928512573,1.3898625373840332
6,1.4277567863464355,1.380600094795227
7,1.4174625873565674,1.3725641965866089
8,1.4083302021026611,1.3660480976104736
9,1.4010683298110962,1.3606277704238892
10,1.3945651054382324,1.3568755388259888
11,1.3844261169433594,1.3461216688156128
12,1.3745139837265015,1.3385246992111206
13,1.3661760091781616,1.3313066959381104
14,1.3569048643112183,1.3240268230438232
15,1.3500242233276367,1.3199512958526611
16,1.34419846534729,1.3163079023361206
17,1.339145541191101,1.312321424484253
18,1.334488868713379,1.3083319664001465
19,1.3302849531173706,1.30517578125
